,0,1
165,2013-01-02,New Year Holiday [Scotland]
166,2013-03-17,St. Patrick's Day [Northern Ireland]
167,2013-03-18,St. Patrick's Day [Northern Ireland] (Observed)
168,2013-07-12,Battle of the Boyne [Northern Ireland]
169,2013-08-05,Summer Bank Holiday [Scotland]
170,2013-11-30,St. Andrew's Day [Scotland]
171,2013-12-25,Christmas Day
172,2013-03-29,Good Friday
173,2013-04-01,Easter Monday [England/Wales/Northern Ireland]
174,2013-05-06,May Day
175,2013-05-27,Spring Bank Holiday
176,2013-08-26,Late Summer Bank Holiday [England/Wales/Northern Ireland]
177,2013-12-26,Boxing Day
178,2013-01-01,Jour de l'an
179,2013-05-01,Fête du Travail
180,2013-05-08,Armistice 1945
181,2013-07-14,Fête nationale
182,2013-11-11,Armistice 1918
183,2013-04-01,Lundi de Pâques
184,2013-05-20,Lundi de Pentecôte
185,2013-05-09,Ascension
186,2013-08-15,Assomption
187,2013-11-01,Toussaint
188,2013-12-25,Noël
189,2014-01-01,New Year's Day
190,2014-01-20,Martin Luther King Jr. Day
191,2014-02-17,Washington's Birthday
192,2014-05-26,Memorial Day
193,2014-07-04,Independence Day
194,2014-09-01,Labor Day
195,2014-10-13,Columbus Day
196,2014-11-11,Veterans Day
197,2014-11-27,Thanksgiving
198,2014-12-25,Christmas Day
199,2014-01-01,New Year's Day
200,2014-01-02,New Year Holiday [Scotland]
201,2014-03-17,St. Patrick's Day [Northern Ireland]
202,2014-07-12,Battle of the Boyne [Northern Ireland]
203,2014-08-04,Summer Bank Holiday [Scotland]
204,2014-11-30,St. Andrew's Day [Scotland]
205,2014-12-25,Christmas Day
206,2014-04-18,Good Friday
207,2014-04-21,Easter Monday [England/Wales/Northern Ireland]
208,2014-05-05,May Day
209,2014-05-26,Spring Bank Holiday
210,2014-08-25,Late Summer Bank Holiday [England/Wales/Northern Ireland]
211,2014-12-26,Boxing Day
212,2014-01-01,Jour de l'an
213,2014-05-01,Fête du Travail
214,2014-05-08,Armistice 1945
215,2014-07-14,Fête nationale
216,2014-11-11,Armistice 1918
217,2014-04-21,Lundi de Pâques
218,2014-06-09,Lundi de Pentecôte
219,2014-05-29,Ascension
220,2014-08-15,Assomption
221,2014-11-01,Toussaint
222,2014-12-25,Noël
223,2015-01-01,New Year's Day
224,2015-01-19,Martin Luther King Jr. Day
225,2015-02-16,Washington's Birthday
226,2015-05-25,Memorial Day
227,2015-07-04,Independence Day
228,2015-07-03,Independence Day (Observed)
229,2015-09-07,Labor Day
230,2015-10-12,Columbus Day
231,2015-11-11,Veterans Day
232,2015-11-26,Thanksgiving
233,2015-12-25,Christmas Day
234,2015-01-01,New Year's Day
235,2015-01-02,New Year Holiday [Scotland]
236,2015-03-17,St. Patrick's Day [Northern Ireland]
237,2015-07-12,Battle of the Boyne [Northern Ireland]
238,2015-08-03,Summer Bank Holiday [Scotland]
239,2015-11-30,St. Andrew's Day [Scotland]
240,2015-12-25,Christmas Day
241,2015-04-03,Good Friday
242,2015-04-06,Easter Monday [England/Wales/Northern Ireland]
243,2015-05-04,May Day
244,2015-05-25,Spring Bank Holiday
245,2015-08-31,Late Summer Bank Holiday [England/Wales/Northern Ireland]
246,2015-12-26,Boxing Day
247,2015-12-28,Boxing Day (Observed)
248,2015-01-01,Jour de l'an
249,2015-05-01,Fête du Travail
250,2015-05-08,Armistice 1945
251,2015-07-14,Fête nationale
252,2015-11-11,Armistice 1918
253,2015-04-06,Lundi de Pâques
254,2015-05-25,Lundi de Pentecôte
255,2015-05-14,Ascension
256,2015-08-15,Assomption
